bin        Q2         Qp2          -t          xB
0     4.44973     2.21996    0.223315    0.182169
1     4.43594     3.48172    0.250264    0.178189
2     4.42481     4.84794    0.278502    0.168988
3     4.41393      7.2271     0.30093    0.145402
