bin        Q2         Qp2          -t          xB
0     1.13502     2.73014    0.210674   0.0813229
1     1.47606     2.73045    0.222593    0.102763
2     2.02023     2.73046     0.24225    0.134713
3     2.95726     2.72936    0.275621    0.187053
