bin        Q2         Qp2          -t          xB
0     2.90104     4.50982    0.213934   0.0990149
1     4.13677     4.47096     0.26138    0.159754
2     5.69005     4.45805    0.299576    0.210884
3     7.79183     4.45926    0.329173    0.258999
