bin        Q2         Qp2          -t          xB
0     2.75727     2.21555     0.19864   0.0867051
1     2.77642     3.53684    0.205011   0.0911488
2     2.76907      5.0577     0.21165   0.0918789
3     2.74918     7.33369    0.245191   0.0863801
