bin        Q2         Qp2          -t          xB
0     1.71341     2.14663    0.215851    0.124107
1     1.71545     2.57569    0.226982    0.118753
2     1.71652      3.2414    0.248787    0.112845
3     1.71215     4.16816    0.283931    0.106331
