xi_xBin  Q2 bin          Q2        xB         Qp2          tM
0           0     4.11927    0.152876      7.5167    0.386451
0           1     5.13356    0.150505     9.37802    0.385858
1           0     5.52468    0.263853     2.98379    0.351269
1           1     7.50278    0.263633     4.11428    0.354354
