5.000000         2.259400e-03    3.107802e-03    3.107802e-03    2.259400e-03    2.683601e-03    1.373635e-15
15.000000        1.985374e-03    3.135030e-03    3.135030e-03    1.985374e-03    2.560202e-03    -3.896045e-15
25.000000        1.461517e-03    2.513851e-03    2.513851e-03    1.461517e-03    1.987684e-03    2.318205e-15
35.000000        1.008557e-03    1.824522e-03    1.824522e-03    1.008557e-03    1.416540e-03    1.492506e-15
45.000000        6.983317e-04    1.313331e-03    1.313331e-03    6.983317e-04    1.005831e-03    4.581144e-16
55.000000        4.953785e-04    9.662418e-04    9.662418e-04    4.953785e-04    7.308101e-04    7.417810e-17
65.000000        3.613424e-04    7.318149e-04    7.318149e-04    3.613424e-04    5.465786e-04    -7.438560e-17
75.000000        2.707337e-04    5.706921e-04    5.706921e-04    2.707337e-04    4.207129e-04    -3.221324e-17
85.000000        2.079805e-04    4.575060e-04    4.575060e-04    2.079805e-04    3.327433e-04    -2.240132e-16
95.000000        1.635924e-04    3.763740e-04    3.763740e-04    1.635924e-04    2.699832e-04    -5.019767e-16
105.000000       1.316659e-04    3.172625e-04    3.172625e-04    1.316659e-04    2.244642e-04    -7.547153e-16
115.000000       1.084350e-04    2.737078e-04    2.737078e-04    1.084350e-04    1.910714e-04    -3.901102e-16
125.000000       9.144015e-05    2.414599e-04    2.414599e-04    9.144015e-05    1.664500e-04    1.628420e-16
135.000000       7.904539e-05    2.176773e-04    2.176773e-04    7.904539e-05    1.483613e-04    -9.819922e-16
145.000000       7.015134e-05    2.004425e-04    2.004425e-04    7.015134e-05    1.352969e-04    3.005063e-16
155.000000       6.402112e-05    1.884658e-04    1.884658e-04    6.402112e-05    1.262435e-04    -2.576455e-15
165.000000       6.017350e-05    1.809024e-04    1.809024e-04    6.017350e-05    1.205379e-04    2.304891e-15
175.000000       5.831807e-05    1.772411e-04    1.772411e-04    5.831807e-05    1.177796e-04    -9.349182e-16
185.000000       5.831807e-05    1.772411e-04    1.772411e-04    5.831807e-05    1.177796e-04    -1.049985e-15
195.000000       6.017350e-05    1.809024e-04    1.809024e-04    6.017350e-05    1.205379e-04    1.124337e-15
205.000000       6.402112e-05    1.884658e-04    1.884658e-04    6.402112e-05    1.262435e-04    2.147046e-16
215.000000       7.015134e-05    2.004425e-04    2.004425e-04    7.015134e-05    1.352969e-04    1.452447e-15
225.000000       7.904539e-05    2.176773e-04    2.176773e-04    7.904539e-05    1.483613e-04    1.598592e-15
235.000000       9.144015e-05    2.414599e-04    2.414599e-04    9.144015e-05    1.664500e-04    2.442630e-16
245.000000       1.084350e-04    2.737078e-04    2.737078e-04    1.084350e-04    1.910714e-04    5.319684e-17
255.000000       1.316659e-04    3.172625e-04    3.172625e-04    1.316659e-04    2.244642e-04    2.716975e-16
265.000000       1.635924e-04    3.763740e-04    3.763740e-04    1.635924e-04    2.699832e-04    -2.760872e-16
275.000000       2.079805e-04    4.575060e-04    4.575060e-04    2.079805e-04    3.327433e-04    -3.665671e-16
285.000000       2.707337e-04    5.706922e-04    5.706922e-04    2.707337e-04    4.207129e-04    -1.288530e-16
295.000000       3.613424e-04    7.318149e-04    7.318149e-04    3.613424e-04    5.465786e-04    7.438560e-17
305.000000       4.953785e-04    9.662418e-04    9.662418e-04    4.953785e-04    7.308101e-04    -3.708905e-17
315.000000       6.983317e-04    1.313331e-03    1.313331e-03    6.983317e-04    1.005831e-03    3.233749e-16
325.000000       1.008557e-03    1.824522e-03    1.824522e-03    1.008557e-03    1.416540e-03    -1.109812e-15
335.000000       1.461517e-03    2.513851e-03    2.513851e-03    1.461517e-03    1.987684e-03    -8.181900e-17
345.000000       1.985374e-03    3.135030e-03    3.135030e-03    1.985374e-03    2.560202e-03    1.206927e-14
355.000000       2.259400e-03    3.107802e-03    3.107802e-03    2.259400e-03    2.683601e-03    2.407901e-14
