0.010000 	 7.342733e-02 
0.110000 	 2.811359e-02 
0.210000 	 1.196773e-02 
0.310000 	 5.604264e-03 
0.410000 	 2.851829e-03 
0.510000 	 1.558008e-03 
0.610000 	 9.040194e-04 
0.710000 	 5.521650e-04 
0.810000 	 3.524976e-04 
0.910000 	 2.338913e-04 
1.010000 	 1.605879e-04 
1.110000 	 1.136762e-04 
1.210000 	 8.270513e-05 
1.310000 	 6.167455e-05 
1.410000 	 4.702245e-05 
1.510000 	 3.657077e-05 
1.610000 	 2.895186e-05 
1.710000 	 2.328601e-05 
1.810000 	 1.899463e-05 
1.910000 	 1.568931e-05 
